	emotion	valence	arousal
id-1260_AU1-100_AU16Open-100_AU2-33	surprise	-0.100545535458526	0.19293873020419855
id-1260_AU10Open-100_AU5-66	surprise	-0.06431291006806618	-0.6866082511492136
id-1260_AU11-66_AU14-66_AU43-33	sadness	0.15489447354421576	-0.6032732127511561
id-1260_AU12-100_AU4-66_AU43-66	sadness	-0.26902724352416424	0.26359234971559525
id-1260_AU12-33	happiness	0.1032629823628105	-0.6521872570282768
id-1260_AU12-66_AU20-100_AU22-66_AU43-66	sadness	0.23641788067275038	-0.16757589243087667
id-1260_AU12-66_AU25-33	happiness	0.221019014881805	-0.5914976094992567
id-1260_AU13-33_AU4-66	sadness	0.0027174469042845115	-0.4800822864235926
id-1260_AU13-66_AU4-100_AU5-33_AU9-100	sadness	-0.2255480930556124	-0.14674213283136228
id-1260_AU14-100_AU17-33_AU2-66_AU27i-100	surprise	-0.33424596922699185	0.3885949073126817
id-1260_AU14-33_AU20-33_AU25-33	happiness	-0.11956766378851742	-0.9674110979252774
id-1260_AU17-33_AU24-100_AU6-33	sadness	-0.016304681425707002	-0.597838318942587
id-1260_AU20-100_AU25-33_AU4-33	sadness	-0.07065361951139666	-0.4320740577812335
id-1260_AU22-100_AU25-100_AU26-100	fear	-0.0054348938085689745	0.11775603251899443
id-1260_AU24-66_AU26-66_AU5-33_AU6-66	fear	-0.10869787617137949	-0.21920738361228195
id-1264_AU1-100_AU4-100	sadness	-0.03260936285141384	-0.47736483951930814
id-1264_AU10Open-33_AU11-100_AU2-66_AU20-100	fear	-0.15398865790945424	-0.23279461813370436
id-1264_AU10Open-33_AU12-66	happiness	-0.007246525078091995	-0.20562014909085935
id-1264_AU10Open-33_AU25-66_AU4-66	surprise	0.046196597372836296	-0.40308795746886555
id-1264_AU10Open-66_AU25-66_AU43-33	happiness	0.19837362401276756	-0.3559855444612677
id-1264_AU11-33_AU13-33_AU22-33	happiness	-0.06521872570282768	-0.8695830093710358
id-1264_AU13-100_AU15-33_AU22-33	happiness	0.10507461363233334	-0.874112087544843
id-1264_AU13-100_AU16Open-100_AU20-66_AU26-33_AU7-66	fear	-0.11503858561470992	0.15670610481373873
id-1264_AU14-33_AU16Open-100_AU20-33	happiness	0.16123518298754622	-0.1983736240127675
id-1264_AU14-33_AU20-100_AU22-66_AU6-100	happiness	0.5842510844211647	-0.2472876682898883
id-1264_AU15-66_AU24-33_AU4-100	sadness	-0.05072567554664367	-0.35870299136555267
id-1264_AU22-100_AU24-66_AU25-100_AU9-100	anger	-0.4619659737283627	0.10869787617137948
id-1264_AU22-100_AU26-33	fear	-0.40761703564267293	0.6114255534640095
id-1264_AU26-100_AU6-66_AU7-33	surprise	-0.15761192044850025	0.42120427016409545
id-1266_AU1-33_AU10Open-100_AU11-66_AU12-100_AU14-33	happiness	0.4402263984940868	-0.09782808855424154
id-1266_AU1-66_AU12-100_AU24-100	happiness	0.4085228512774344	-0.014493050156183998
id-1266_AU11-66_AU17-100_AU7-33	disgust	-0.09963971982376452	-0.3079773158189085
id-1266_AU13-66_AU15-100_AU16Open-66_AU22-66_AU9-100	anger	-0.0815234071285346	-0.4701183144412162
id-1266_AU13-66_AU17-100_AU2-100_AU9-33	disgust	-0.13134326704041666	-0.204714333456098
id-1266_AU15-33_AU24-66_AU27i-66_AU6-100	surprise	0.0842408540328191	-0.30707150018414703
id-1266_AU15-33_AU5-66_AU9-33	anger	-0.100545535458526	0.07518269768520401
id-1266_AU17-100_AU20-66	happiness	-0.2092434116299055	-0.7636025801039408
id-1266_AU20-100_AU22-100_AU24-100_AU25-66_AU6-66	surprise	0.010869787617137935	-0.22645390869037393
id-1266_AU25-100_AU4-100	anger	-0.2201131992470434	-0.4864229958669232
id-1266_AU25-33_AU4-33	surprise	-0.02355120650379866	-0.6811733573406445
id-1269_AU1-66_AU16Open-33_AU20-66	surprise	-0.3722902258869748	0.0815234071285346
id-1269_AU10Open-100_AU20-100_AU25-33	surprise	-0.2880493718541556	0.41305192945124203
id-1269_AU10Open-33	disgust	-0.2282655399598969	-0.8913225846053117
id-1269_AU10Open-66_AU20-66_AU26-66_AU43-66	disgust	0.05706638498997424	-0.00452907817380747
id-1269_AU11-100_AU13-33_AU25-100	surprise	0.17029333933516097	-0.3496448350179373
id-1269_AU12-100_AU2-66_AU20-33_AU43-66	happiness	0.5489242746654663	0.11685021688423293
id-1269_AU12-33_AU17-66_AU9-100	happiness	0.6358825756025699	-0.100545535458526
id-1269_AU13-33_AU15-100	happiness	0.07880596022425011	-0.3478332037484143
id-1269_AU14-100_AU20-100_AU5-66	happiness	0.09239319474567256	-0.1657642611613537
id-1269_AU14-33_AU25-66	happiness	0.3179412878012849	-0.29620171256700906
id-1269_AU15-66_AU16Open-66_AU26-33_AU27i-100	surprise	-0.26087490281131104	0.10598042926709463
id-1269_AU15-66_AU17-33_AU24-100	sadness	-0.12228511069280193	-0.7174059827311046
id-1269_AU16Open-66_AU5-100	anger	-0.4230159014336185	0.2925784500279631
id-1269_AU17-33	anger	-0.047102413007597675	-0.7491095299477569
id-1269_AU17-33_AU24-33_AU6-66	sadness	-0.14130723902279332	-0.8858876907967428
id-1270_AU10Open-33_AU16Open-33_AU22-100_AU7-66	happiness	-0.3451157568441299	0.1684817080656382
id-1270_AU10Open-66_AU12-33_AU14-33	happiness	0.3496448350179373	0.03804425665998282
